map_row_id,report_name,report_type,report_section,report_field,metric_code,kpi_id,service_event,service_definition,system_workflow_capture,source_system,source_table,source_field,source_grain,staging_table,warehouse_fact_or_dimension,fact_grain,transformation_rule,inclusion_rule,exclusion_rule,validation_check,reconciliation_check,migration_risk,reporting_confidence,sign_off_owner,sign_off_status,management_decision_supported,local_performance_use,national_or_local_use,related_output_file,notes
STR-001,MHSDS-like monthly submission,Mandatory,Provider main data,Open referrals at month end,MHS23,,Patient has open referral at reporting period end,Stock measure — open referrals (caseload-style); not automatically good or bad,Derived from episode open status at month-end snapshot,Legendary Care + PathwayOne,fact_mh_referral_episode,"episode_status, reporting_month",episode,stg_episode,fact_mh_referral_episode,episode,Count episodes Open or Waiting at last day of month,mhsds_like_inclusion_flag=1,INVALID_TEAM; national-excluded teams,Compare to prior month stock; vignette sample,Cross-check MHS01 subset,High — open definition changed post-migration,Medium,Mandatory reporting owner,Draft Mar 2026,National monitoring; local capacity,Caseload pressure by team,Both,mhsds_like_submission_fields.csv,
STR-002,MHSDS-like monthly submission,Mandatory,Provider main data,People with open referral with services at month end,MHS01,,Person remains on pathway with open referral,Stock — people with open referral in contact with services (Apr 2026 label analogue),Episode open after ACCESS_ACCEPTED without OUTCOME_CLOSED,PathwayOne,fact_mh_referral_episode,episode_status,episode,stg_episode,fact_mh_referral_episode,episode,Distinct patients with open episode at month end,mhsds_like_inclusion_flag=1,Closed episodes,Service manager stock check,MHS23 >= MHS01 logic check,Medium,Medium,Mandatory reporting owner,Draft,Workforce planning,Caseload management,Both,mhsds_like_submission_fields.csv,
STR-003,MHSDS-like monthly submission,Mandatory,Provider main data,Contacts in reporting period,MHS29,,Clinical contact delivered in month,Activity measure — contact volume in reporting period,CARE_ONGOING and CARE_FIRST_CONTACT actions,PathwayOne,pathwayone_actions,ActionType CARE_*,action,stg_action,fact_mh_referral_episode,episode,Sum clinical_contact_count by reporting_month,Clinical actions only,ADMIN_CANCEL; duplicate ActionId,CSDS-like cross-check,VAL-05 admin exclusion,High — admin inflation,Medium,Mandatory reporting owner,Pending reconciliation,Activity monitoring,Productivity by team,Both,mhsds_like_submission_fields.csv,
STR-004,MHSDS-like monthly submission,Mandatory,Internal reconciliation,Referrals received (agreed OPT-C),DRH-REF-OPT-C,,Referral received — service-agreed meaning,Hybrid OPT-C: pre-Feb cases; post-Feb access rules with exclusions,Case ReferralDate or ACCESS_ACCEPTED per agreed rules,Legendary Care + PathwayOne,fact_mh_referral_episode,derivation_rule=OPT-C,episode,stg_referral_agreed,fact_mh_referral_episode,episode,Count episodes referral_received in month where OPT-C,mhsds_like_inclusion_flag=1; reporting_month=2026-03,Rejected unless CLINICAL_TRIAGE; duplicates; admin,Monthly parallel-run compare,134 vs dashboard 154,High,Low until signed off,Directorate lead,Agreed pending workshop,Submit 134 not 154 to NHSE,Demand monitoring,Both,mhsds_like_submission_fields.csv,Mar 2026 agreed count 134 vs dashboard 154. Vignette DRH-PAT-002896.
STR-005,MHSDS-like monthly submission,Mandatory,Internal reconciliation (do not submit),Referrals received (dashboard logic),DRH-REF-DASH,,Referral counted by legacy dashboard pipeline,Blended pipeline — not reconciled to OPT-C,Legacy fact_referral + fact_access blend,Blended,fact_referral,blended logic,episode,stg_case+stg_action,fact_referral,episode,Legacy dashboard refresh,None — legacy,n/a,VAL-03 fail,+14.9% vs agreed,High,Low,BI lead,Not for submission,Withhold from Board,Do not use for decisions,Local,mhsds_like_submission_fields.csv,Not for submission — VAL-MH-03 failed.
STR-006,MHSDS-like monthly submission,Mandatory,Provider main data,Rejected referrals by reason,DRH-REJ-BREAK,,Referral rejected at triage,Rejected referrals — national vs local inclusion differs by reason,ACCESS_REJECTED or case Rejected status,Both,fact_mh_referral_episode,rejection_reason,episode,stg_action,fact_mh_referral_episode,episode,Group by rejection_reason,Varies by reason code,CLINICAL_TRIAGE may count as received,Sample with clinical lead,Anchor DRH-PAT-002896,High,Low,Clinical lead,Workshop required,Definition agreement,Rejection rate review,Both,mhsds_like_submission_fields.csv,
STR-007,MHSDS-like monthly submission,Mandatory,Access performance,First contact within 14 days (%),DRH-FC14,,First clinical contact within 14 days of referral,Numerator: first contact <=14d; denominator: agreed referrals,first_contact_wait_days on episode,PathwayOne,fact_mh_referral_episode,first_contact_wait_days,episode,stg_episode,fact_mh_referral_episode,episode,Wait clock starts at referral received (agreed),Denominator OPT-C referrals,No contact yet,Vignette DRH-PAT-001552 — clock start sensitivity,Compare access-accepted start vs referral start,Medium,Medium,Clinical lead,Agreed,Access performance review,Waiting standards,Both,mhsds_like_submission_fields.csv,
STR-008,MHSDS-like monthly submission,Mandatory,CYP access (optional),CYP access cohort,MHS69,,Children and young people access pathway,CYP access measure concept — illustrative DRH row only,Episode service_line filter,PathwayOne,fact_mh_referral_episode,service_line,episode,stg_episode,fact_mh_referral_episode,episode,Count CYP episodes in month,service_line=CYP,Adult CMHT,Age band cross-check,Not in Mar 2026 scope,Low,N/A,CYP lead,Out of scope Mar 2026,CYP access assurance,CYP pathway review,Both,mhsds_like_submission_fields.csv,
STR-009,MHSDS-like monthly submission,Mandatory,Pathway,Pathway start datetime,KPI-02,KPI-02,Patient begins active care on pathway,First clinical contact or agreed pathway start rule,CARE_FIRST_CONTACT or pathway_start_datetime,PathwayOne,fact_mh_referral_episode,pathway_start_datetime,episode,stg_action,fact_mh_referral_episode,episode,Earliest clinical contact post-acceptance,ACCESS_ACCEPTED required,Rejected pathways,Compare to legacy FirstContactDate,Waiting list clock,Medium,Medium,Clinical lead,Agreed,Waiting-time review,Pathway performance,Both,mhsds_like_submission_fields.csv,
STR-010,Local demand and access performance pack,Local,Weekly pack,Weekly demand index,DRH-DEM-WK,,Service demand and capacity signal,Local operational definition — may differ from national stock measures,Rolled from fact_mh_referral_episode + demand_capacity_weekly,PathwayOne + RosterFlow,fact_mh_referral_episode,multiple,episode/week,stg_episode,fact_mh_referral_episode,episode,Sum demand from weekly pack,local_reporting_inclusion_flag=1,National exclusions may still count locally,Weekly DQ,Separate from MHS23 stock,Medium,High,Service manager,Prototype,Team capacity allocation,Capacity meetings,Local,local_demand_access_pack_metrics.csv,
